,INDONESIA,,,JAWA,,,Inggris,
178,Apa saja contoh jajanan kaki lima dan restoran kelas atas yang menawarkan pengalaman kuliner khas di Malang?,"Malang menawarkan beragam pengalaman kuliner, mulai dari kedai jajanan kaki lima hingga restoran kelas atas.",,Apa sawetara conto panganan jalanan lan restoran kelas atas sing nawakake pengalaman kuliner sing khas ing Malang?,"Malang nawakake macem-macem pengalaman kuliner, saka warung jajanan kanggo restoran kelas atas.",,What are some examples of street food and upscale restaurants that offer distinct culinary experiences in Malang?,"Malang offers a diverse range of culinary experiences, from street food stalls to upscale restaurants."
179,"Apa bahan dan rasa utama yang membedakan masakan tradisional Jawa seperti ""Nasi Pecel"" dan ""Ayam Goreng"" di Malang?","Pengunjung Malang juga bisa mencicipi masakan tradisional Jawa, seperti ""Nasi Pecel"" dan ""Ayam Goreng"".",,"Apa bahan utama lan rasa sing nemtokake masakan tradisional Jawa kaya ""Nasi Pecel"" lan ""Ayam Goreng"" ing Malang?","Pengunjung ing Malang uga bisa njelajah kuliner tradisional Jawa, kayata “Nasi Pecel” lan “Ayam Goreng”.",,"What are the key ingredients and flavors that define traditional Javanese dishes like ""Nasi Pecel"" and ""Ayam Goreng"" in Malang?","Visitors to Malang can also explore traditional Javanese cuisine, such as ""Nasi Pecel"" and ""Ayam Goreng."""
180,"Apa saja jenis jajanan dan bahan asli Jawa yang bisa ditemukan wisatawan di Pasar Besar Malang, dan apa yang membuat pasar ini wajib dikunjungi para pecinta kuliner?","Pasar lokal, Pasar Besar Malang, adalah tempat yang ramai untuk mencicipi jajanan dan bahan-bahan asli Jawa.",,"Apa jinis jajanan lan bahan-bahan jajanan asli Jawa sing bisa ditemokake wisatawan ing Pasar Besar Malang, lan apa sing ndadekake pasar iki kudu dikunjungi para penggemar kuliner?","Pasar lokal, Pasar Besar Malang, minangka papan sing nyenengake kanggo nyicipi jajanan lan bahan-bahan asli Jawa.",,"What types of authentic Javanese snacks and ingredients can tourists find at Pasar Besar Malang, and what makes this market a must-visit for culinary enthusiasts?","The local market, Pasar Besar Malang, is a vibrant place to sample authentic Javanese snacks and ingredients."
181,"Makanan penutup manis manakah yang paling terkenal di Malang, dan apa bahan utama dalam makanan ini?",Malang terkenal dengan makanan penutup manisnya yang lezat.,,"Dessert manis apa sing paling misuwur ing Malang, lan apa bahan utama ing panganan iki?",Malang misuwur kanthi panganan manis sing enak.,,"Which sweet desserts is Malang most famous for, and what are the key ingredients in these treats?",Malang is renowned for its delectable sweet desserts.
182,Bagaimana rasa makanan tiwul yang sudah kamu beli?,Tiwul yang kemarin saya beli memiliki rasa kenyal dan gurih.,,Kepriye rasane panganan tiwul sing wis dituku?,Tiwul sing tak tuku wingi rasane kenyal lan gurih.,,How does the tiwul food you have bought taste?,The Tiwul I bought yesterday had a chewy and tasty taste.
183,Apa menu andalan di warung yang akan kamu datangi?,Warung yang akan saya datangi itu memiliki menu andalan yaitu rawon.,,Apa menu andalan ing lapak sing bakal sampeyan kunjungi?,Warung ingkang badhe kula tuju menika gadhah menu andalan inggih menika rawon.,,What is the mainstay menu at the stall you will visit?,"The stall that I will go to has a mainstay menu, namely rawon."
184,"Menurut ayahmu, apa bahan utama dari pecel?",Menurut ayah bahan utama dari pecel adalah bumbu kacang.,,"Miturut bapakmu, apa sing dadi bahan utama ing pecel?","Jare bapakku, bahan utama pecel yaiku sambel kacang.",,"According to your father, what is the main ingredient in pecel?","According to my father, the main ingredient in pecel is peanut sauce."
185,Apa salah satu makanan khas dari Jawa Timur yang disukai kakekmu?,Kakek menyukai makanan khas dari Jawa Timur yaitu sate komoh.,,Apa panganan khas Jawa Timur sing disenengi simbah?,Simbah seneng panganan khas Jawa Timur yaiku sate komoh.,,What is one typical food from East Java that your grandfather likes?,"Grandpa likes a typical food from East Java, namely komoh satay."
186,Apa yang ditawarkan oleh warung Tegal yang berhubungan dengan makanan Minangkabau?,"Tawaran dari warung Tegal yang berhubungan dengan makanan Minangkabau adalah nasi padang dengan berbagai hidangan lauk-pauknya yang khas seperti rendang, gulai ayam, sambal balado, dan banyak lagi.",,Apa sing ditawakake Warung Tegal sing gegandhengan karo panganan Minangkabau?,"Penawaran saking Warung Tegal ingkang gayut kaliyan dhaharan Minangkabau inggih menika Nasi Padang ingkang maneka warna lawuh khas kados ta rendang, kari ayam, sambal balado, lan sanes-sanesipun.",,What does Warung Tegal offer related to Minangkabau food?,"The offer from Warung Tegal which is related to Minangkabau food is Nasi Padang with various typical side dishes such as rendang, chicken curry, sambal balado, and many more."
187,Apa perbedaan mie ayam dan cwie mie ?,mie ayam cenderung memiliki rasa yang lebih manis sedangkan cwie mie memiliki rasa yang lebih asin,,Apa bedane mie ayam karo mie cwie?,Mie ayam cenderung rasane luwih manis dene mie Cwie rasane luwih asin,,What is the difference between chicken noodles and cwie noodles?,Chicken noodles tend to have a sweeter taste while Cwie noodles have a saltier taste
188,Bagaimana cara memasak rendang?,Rendang dimasak menggunakan rempah-rempah dan santan hingga empuk.,,Carane masak rendang?,Rendang dimasak nganggo bumbu lan santen nganti empuk.,,How to cook rendang?,Rendang is cooked using spices and coconut milk until tender.
189,Apa nama makanan ringan khas Indonesia yang terbuat dari ketela?,Makanan rempeyek terbuat dari ketela goreng dengan bumbu kacang.,,Apa jenenge jajanan khas Indonesia sing digawe saka singkong?,Panganan rempeyek kacang digawe saka singkong goreng karo saos kacang.,,What is the name of a typical Indonesian snack made from cassava?,The peanut brittle dish is made from fried cassava with peanut sauce.
190,Mengapa makanan di Yogyakarta seperti gudeg identik dengan rasa manis?,"Manisnya makanan dari Jawa Tengah karena ada filosofi nya yaitu zaman dahulu kondisi alam jawa sangat melimpah dengan pohon kelapa, sehingga masyarakat banyak yang memanfaatkannya.",,Kenging punapa dhaharan ing Ngayogyakarta kadosta gudeg menika identik kaliyan rasa ingkang legi?,"Leginipun panganan saking Jawa Tengah menika amargi filosofinipun, inggih menika ing jaman rumiyin kawontenan alam Jawi kathah sanget kaliyan wit klapa, saengga kathah tiyang ingkang ngginakaken.",,Why is food in Yogyakarta such as gudeg synonymous with sweet taste?,"The sweetness of food from Central Java is due to its philosophy, namely that in ancient times Java's natural conditions were very abundant with coconut trees, so many people used them."
191,Bagaimana rasa dari kue lapis ?,Kue lapis memiliki cita rasa manis yang khas,,Piye rasane kue lapis?,Kue lapis nduweni rasa manis sing khas,,How does layer cake taste?,Layer cake has a distinctive sweet taste
192,Apa yang membuat warung sate Pak Daman ini sangat ramai dikunjungi sampai dari luar kota?,Memang warung sate Pak Daman di Blora mempunyai kelembutan daging yang masih empuk serta bumbu yang khas.,,Apa sing ndadekake warung sate Pak Daman rame karo pengunjung saka njaba kutha?,Pancen warung sate Pak Daman ing Blora nduweni daging sing empuk lan bumbu sing unik.,,What makes Pak Daman's satay stall so busy with visitors from outside the city?,"Indeed, Pak Daman's satay stall in Blora has tender meat and unique spices."
193,Apa sambal yang khas dari makanan bebek bumbu hitam Madura?,sambal mangga biasanya selalu melengkapi makanan bebek goreng bumbu hitam yang gurih.,,Apa sambal khas kanggo panganan bebek ireng Madura?,Sambal pelem biasanipun tansah nglengkapi gurih bebek goreng kaliyan bumbu ireng.,,What is the typical chili sauce for Madurese black spiced duck food?,Mango chili sauce usually always complements savory fried duck with black spices.
194,Apakah rendang wajib dihidangkan dalam tradisi Minangkabau ?,Rendang wajib dihidangkan pada setiap perayaan adat dalam tradisi Minangkabau untuk menyambut tamu kehormatan,,Apa rendang wajib disajikake ing tradhisi Minangkabau?,Rendang kudu disedhiyakake ing saben pahargyan tradhisional ing tradhisi Minangkabau kanggo nampa tamu kehormatan,,Is rendang mandatory to be served in Minangkabau tradition?,Rendang must be served at every traditional celebration in the Minangkabau tradition to welcome guests of honor
195,Mengapa tahu sumedang memiliki rasa yang asin dibandingkan tahu biasa ?,"Dalam proses pembuataannya, tahu sumedang digumpalkan dengan garam sehingga membuat tahu sumedang memiliki rasa yang asin ketika digoreng",,Kenapa tahu sumedang rasane luwih asin tinimbang tahu biasa?,"Wonten ing proses produksi, tahu Sumedang dipunwuwuhi kaliyan uyah saengga ndadosaken tahu Sumedang gadhah rasa asin nalika digoreng.",,Why does sumedang tofu have a saltier taste compared to ordinary tofu?,"In the manufacturing process, Sumedang tofu is coagulated with salt so that it makes Sumedang tofu have a salty taste when fried."
196,Bagaimana cara membuat nasi goreng yang enak seperti yang dibuat oleh ibu?,Ibu selalu membuat nasi goreng dengan bumbu rahasia salah satunya Minyak bawang dan setengah sendok kecap manis dan setengah sendok kecap asin. ,,Kepiye carane nggawe sega goreng sing enak kaya sing digawe ibu?,"Ibu tansah gawe sega goreng kanthi bumbu rahasia, salah sijine yaiku minyak bawang lan kecap manis setengah sendok lan kecap asin setengah sendok.",,How do you make delicious fried rice like your mother makes?,"Mother always makes fried rice with secret spices, one of which is onion oil and half a spoonful of sweet soy sauce and half a spoonful of salty soy sauce."
197,Apa hidangan khas dari daerah Jawa Tengah di Indonesia?,"Hidangan khas dari Jawa Tengah termasuk nasi gudeg, soto ayam, dan makanan ringan seperti bakpia.",,Apa panganan khas daerah Jawa Tengah ing Indonesia?,"Jajan khas saka Jawa Tengah kalebu nasi gudeg, soto ayam, lan jajanan kayata bakpia.",,What is a typical dish from the Central Java region in Indonesia?,"Typical dishes from Central Java include nasi gudeg, soto ayam, and snacks such as bakpia."
198,"Apa makanan khas dari Manado, Sulawesi Utara?",Makanan khas Manado yaitu bubur manado yang terkenal dengan cita rasanya yang pedas dan berbumbu.,,"Apa panganan khas Manado, Sulawesi Utara?",Panganan khas Manado yaiku bubur Manado sing terkenal rasane pedhes lan pedhes.,,"What is the typical food from Manado, North Sulawesi?",Manado's typical food is Manado porridge which is famous for its spicy and spiced taste.
199,Apa yang dimaksud dengan kerak telor dan di mana asalnya?,kerak telor makanan khas betawi yang terbuat dari beras ketan dan telur dengan bumbu serundeng kelapa,,Apa kerak endhog lan saka ngendi asale?,Kerak Telor yaiku panganan khas Betawi sing digawe saka ketan lan endhog karo bumbu serundeng klapa,,What is egg crust and where does it come from?,Kerak Telor is a typical Betawi food made from sticky rice and eggs with coconut serundeng seasoning
200,Apa yang dimaksud dengan rawon dalam masakan Jawa Timur?,rawon hidangan berupa sup daging sapi yang berwarna hitam karena menggunakan kluwek,,Apa sing dimaksud rawon ing masakan Jawa Timur?,rawon iku panganan saka sup daging sapi sing ireng amarga nganggo kluwek,,What is meant by rawon in East Javanese cuisine?,rawon is a dish of beef soup that is black because it uses kluwek
201,Apa makanan manis yang terbuat dari ketan dan gula kelapa dalam kemasan daun pisang?,"Kue bugis makanan manis dari Sulawesi Selatan yang terbuat dari ketan dan gula kelapa, lalu dibungkus daun pisang.",,Apa panganan manis sing digawe saka ketan lan gula klapa sing dibungkus godhong gedhang?,"Kue Bugis ya iku panganan sing legi saka Sulawesi Kidul sing digawé saka ketan lan gula klapa, banjur dibungkus godhong gedhang.",,What is a sweet food made from sticky rice and coconut sugar wrapped in banana leaves?,"Bugis cake is a sweet food from South Sulawesi made from sticky rice and coconut sugar, then wrapped in banana leaves."
202,Apa hidangan tradisional Batak yang terdiri dari nasi yang disusun dalam bakul anyaman bambu?,Nasi bakar hidangan tradisional Batak yang terdiri dari nasi yang disusun dalam bakul anyaman bambu dan dipanggang.,,Apa panganan tradisional Batak sing kasusun saka sega sing disusun ing kranjang anyaman pring?,Nasi Bakar ya iku panganan tradhisional Batak sing isiné sega sing ditata ing kranjang anyaman pring lan dibakar.,,What is a traditional Batak dish consisting of rice arranged in a woven bamboo basket?,Nasi Bakar is a traditional Batak dish consisting of rice arranged in a woven bamboo basket and grilled.
203,Apa yang dimaksud dengan ayam betutu dalam masakan Bali?,Ayam betutu hidangan ayam yang dilumuri bumbu rempah dan kemudian dipanggang.,,Apa sing dimaksud ayam betutu ing masakan Bali?,Ayam betutu ya iku panganan pitik sing dilapisi bumbu banjur dibakar.,,What is meant by ayam betutu in Balinese cuisine?,Ayam betutu is a chicken dish coated in spices and then grilled.
204,Apa yang dimaksud dengan gudeg dalam kuliner Yogyakarta?,Gudeg hidangan khas Yogyakarta yang terbuat dari nangka muda yang dimasak dalam santan dan gula merah.,,Apa sing dimaksud gudeg ing kuliner Yogyakarta?,Gudeg yaiku panganan khas Yogyakarta sing digawe saka nangka enom sing dimasak nganggo santen lan gula abang.,,What is meant by gudeg in Yogyakarta culinary?,Gudeg is a typical Yogyakarta dish made from young jackfruit cooked in coconut milk and brown sugar.
205,Apa hidangan penutup yang terbuat dari labu kuning dan gula merah di Indonesia?,Kolak labu hidangan penutup yang terbuat dari labu kuning yang dimasak dengan gula merah dan santan.,,Apa panganan cuci mulut sing digawe saka waluh lan gula abang ing Indonesia?,Waluh kolak yaiku panganan cuci mulut sing digawe saka waluh kuning sing dimasak nganggo gula abang lan santen.,,What is a dessert made from pumpkin and brown sugar in Indonesia?,Kolak pumpkin is a dessert made from yellow pumpkin cooked with brown sugar and coconut milk.
206,Apa yang dimaksud dengan ikan bakar Jimbaran di Bali?,Ikan bakar Jimbaran hidangan ikan bakar khas Bali yang disajikan dengan bumbu dan saus pedas.,,Apa sing dimaksud iwak bakar Jimbaran ing Bali?,Iwak bakar Jimbaran ya iku sajian iwak bakar khas Bali sing disuguhi bumbu lan sambel pedhes.,,What is meant by Jimbaran grilled fish in Bali?,Jimbaran grilled fish is a typical Balinese grilled fish dish served with spices and spicy sauce.
